[ALERT] NULL_SCAN from 34.107.221.82 | Target_IP: N/A | SRC_MAC: f0:d5:bf:24:3b:19 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports: 34214, 34220, 34236, 37716, 37732, 37742, 40710, 40714, 40728, 40738, 44430, 44446, 45124, 45140, 45152 | Ports Scanned: 15 | Start: Wed Jul 30 15:38:02 2025 | Duration: 7.2s
[ALERT] ACK_SCAN from 34.107.221.82 | Target_IP: N/A | SRC_MAC: f0:d5:bf:24:3b:19 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports: 34214, 34220, 34236, 37716, 37732, 37742, 40710, 40714, 40728, 40738, 44430, 44446, 44448, 45124, 45140 | Ports Scanned: 15 | Start: Wed Jul 30 15:38:00 2025 | Duration: 6.3s
[ALERT] SERVICE_PROBE from 34.107.221.82 | Target_IP: N/A | SRC_MAC: f0:d5:bf:24:3b:19 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports: 34214, 34220, 34236, 37716, 37732, 37742, 40710, 40714, 40728, 40738, 44430, 44446, 44448, 45124, 45140 | Ports Scanned: 15 | Start: Wed Jul 30 15:38:00 2025 | Duration: 6.3s
[ALERT] OS_FINGERPRINT from 34.107.221.82 | Target_IP: N/A | SRC_MAC: f0:d5:bf:24:3b:19 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports:  | Ports Scanned: 0 | Start: Wed Jul 30 15:38:00 2025 | Duration: 9.5s
[ALERT] OS_FINGERPRINT from 142.250.181.138 | Target_IP: N/A | SRC_MAC: f0:d5:bf:24:3b:19 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports:  | Ports Scanned: 0 | Start: Wed Jul 30 15:21:09 2025 | Duration: 9.8s
[ALERT] SERVICE_PROBE from 172.20.10.4 | Target_IP: N/A | SRC_MAC: f0:d5:bf:24:3b:19 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports: 443, 80 | Ports Scanned: 2 | Start: Wed Jul 30 15:21:44 2025 | Duration: 8.6s
[ALERT] OS_FINGERPRINT from 172.20.10.4 | Target_IP: N/A | SRC_MAC: f0:d5:bf:24:3b:19 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports:  | Ports Scanned: 0 | Start: Wed Jul 30 15:21:43 2025 | Duration: 6.9s
[ALERT] NULL_SCAN from 34.107.221.82 | Target_IP: N/A | SRC_MAC: f0:d5:bf:24:3b:19 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports: 35470, 41022, 41030, 41040, 41046, 43026, 43038, 43054, 44736, 44748, 45656, 47194, 47208, 59268 | Ports Scanned: 14 | Start: Wed Jul 30 15:21:43 2025 | Duration: 6.2s
[ALERT] ACK_SCAN from 34.107.221.82 | Target_IP: N/A | SRC_MAC: f0:d5:bf:24:3b:19 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports: 35468, 35470, 41022, 41030, 41040, 41046, 43026, 43038, 43054, 45656, 45662, 46154, 47194, 47208, 59268 | Ports Scanned: 15 | Start: Wed Jul 30 15:21:40 2025 | Duration: 10.0s
[ALERT] SERVICE_PROBE from 34.107.221.82 | Target_IP: N/A | SRC_MAC: f0:d5:bf:24:3b:19 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports: 35468, 35470, 41022, 41030, 41040, 41046, 43026, 43038, 43054, 45656, 45662, 46154, 47194, 47208, 59268 | Ports Scanned: 15 | Start: Wed Jul 30 15:21:40 2025 | Duration: 10.0s
[ALERT] OS_FINGERPRINT from 34.107.221.82 | Target_IP: N/A | SRC_MAC: f0:d5:bf:24:3b:19 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports:  | Ports Scanned: 0 | Start: Wed Jul 30 15:21:44 2025 | Duration: 6.5s
