[ALERT] OS_FINGERPRINT from 142.251.37.78 | Target_IP: 10.35.214.252 | SRC_MAC: 52:7f:3c:a8:0c:17 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports:  | Ports Scanned: 0 | Count: 17 | Start: Tue Oct 28 09:51:51 2025 | Duration: 2.444743s
[ALERT] UDP_SCAN from 10.35.214.193 | Target_IP: 10.35.214.252 | SRC_MAC: 08:71:90:49:f6:79 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports: 1025, 1038, 1044, 1059, 1064, 1087, 1419, 1457, 1645, 16573, 16832, 16938, 16974, 17, 17018 | Ports Scanned: 15 | Count: 198 | Start: Tue Oct 28 09:42:03 2025 | Duration: 6.962407s
[ALERT] UDP_SCAN from 10.35.214.186 | Target_IP: 10.35.214.252 | SRC_MAC: 52:7f:3c:a8:0c:17 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports: 33704, 34140, 34557, 35328, 35464, 35986, 36159, 36431, 36676, 37155, 37773, 38472, 38879, 39209, 40424 | Ports Scanned: 15 | Count: 7 | Start: Tue Oct 28 09:52:58 2025 | Duration: 6.818548s
[ALERT] UDP_SCAN from 10.35.214.186 | Target_IP: 10.35.214.252 | SRC_MAC: 52:7f:3c:a8:0c:17 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports: 33357, 33704, 34014, 34140, 34557, 34805, 35328, 35464, 35986, 36042, 36159, 36431, 36676, 36994, 37155 | Ports Scanned: 15 | Count: 7 | Start: Tue Oct 28 09:52:58 2025 | Duration: 6.818548s
[ALERT] UDP_SCAN from 10.35.214.186 | Target_IP: 10.35.214.252 | SRC_MAC: 52:7f:3c:a8:0c:17 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports: 33357, 33704, 34014, 34140, 34557, 34805, 35328, 35464, 35986, 36042, 36159, 36431, 36676, 36994, 37155 | Ports Scanned: 15 | Count: 7 | Start: Tue Oct 28 09:52:58 2025 | Duration: 6.818548s
[ALERT] UDP_SCAN from 10.35.214.193 | Target_IP: 10.35.214.252 | SRC_MAC: 08:71:90:49:f6:79 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports: 1066, 1234, 139, 1484, 16449, 1646, 16545, 16548, 16779, 16829, 16862, 17185, 1719, 17205, 17302 | Ports Scanned: 15 | Count: 199 | Start: Tue Oct 28 09:42:18 2025 | Duration: 2.078478s
[ALERT] UDP_SCAN from 10.35.214.186 | Target_IP: 10.35.214.252 | SRC_MAC: 52:7f:3c:a8:0c:17 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports: 33357, 33704, 34014, 34140, 34557, 34805, 35328, 35464, 35986, 36042, 36159, 36431, 36676, 37155, 37479 | Ports Scanned: 15 | Count: 7 | Start: Tue Oct 28 09:52:58 2025 | Duration: 6.818548s
[ALERT] UDP_SCAN from 10.35.214.186 | Target_IP: 10.35.214.252 | SRC_MAC: 52:7f:3c:a8:0c:17 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports: 33704, 34557, 35328, 35464, 35986, 36159, 36676, 37773, 38472, 38879, 39209, 40424, 40965, 41622, 42661 | Ports Scanned: 15 | Count: 7 | Start: Tue Oct 28 09:52:58 2025 | Duration: 6.818548s
[ALERT] OS_FINGERPRINT from 142.251.37.78 | Target_IP: 10.35.214.252 | SRC_MAC: 52:7f:3c:a8:0c:17 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports:  | Ports Scanned: 0 | Count: 20 | Start: Tue Oct 28 09:51:51 2025 | Duration: 2.459832s
[ALERT] UDP_SCAN from 10.35.214.186 | Target_IP: 10.35.214.252 | SRC_MAC: 52:7f:3c:a8:0c:17 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports: 33044, 33357, 33704, 33740, 34014, 34140, 34557, 34805, 35727, 36042, 36431, 36676, 36994, 37155, 37479 | Ports Scanned: 15 | Count: 3 | Start: Tue Oct 28 09:51:52 2025 | Duration: 0.002334s
